GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
17.2174 0.8203 22.465 0.0022 0.0022 0 3.367 -0.5 1.0 0.0 4.797316743827159e-06 4.797316743827159e-06 1 HIGALBM17.2174+0.8203 1
17.2209 -0.1857 43.689 0.0017 0.0017 0 3.367 -0.5 1.0 0.0 2.7592901234567907e-06 2.7592901234567907e-06 1 HIGALBM17.2209-0.1857 1
17.224 0.7979 22.472 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 6.0025e-06 6.0025e-06 1 HIGALBM17.2240+0.7979 0
17.2324 0.3101 19.399 0.0027 0.0027 0 3.367 -0.5 1.0 0.0 7.335069444444445e-06 7.335069444444445e-06 1 HIGALBM17.2324+0.3101 1
17.2329 -0.1826 43.729 0.0013 0.0013 0 3.367 -0.5 1.0 0.0 1.7446006944444445e-06 1.7446006944444445e-06 1 HIGALBM17.2329-0.1826 1
17.2683 0.5961 22.531 0.0016 0.0016 0 3.367 -0.5 1.0 0.0 2.5069444444444445e-06 2.5069444444444445e-06 1 HIGALBM17.2683+0.5961 0
17.344 0.7329 19.034 0.0043 0.0043 0 3.367 -0.5 1.0 0.0 1.8168906249999997e-05 1.8168906249999997e-05 1 HIGALBM17.3440+0.7329 1
17.3537 0.7291 19.042 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.8134567901234555e-06 5.8134567901234555e-06 1 HIGALBM17.3537+0.7291 0
17.3651 0.7668 18.69 0.0045 0.0045 0 3.367 -0.5 1.0 0.0 2.0576304012345674e-05 2.0576304012345674e-05 1 HIGALBM17.3651+0.7668 1
17.369 0.7431 18.818 0.0046 0.0046 0 3.367 -0.5 1.0 0.0 2.0930625e-05 2.0930625e-05 1 HIGALBM17.3690+0.7431 1
17.3722 0.5092 22.788 0.0045 0.0045 0 3.367 -0.5 1.0 0.0 2.0287517361111113e-05 2.0287517361111113e-05 1 HIGALBM17.3722+0.5092 0
